book_id,language,t_word,t_uword,t_sent,t_char,t_stopword,a_word_ps,a_char_pw,ttr,long_word_ratio,avg_vowels_pw,vowel_ratio,syllable_complexity,fre,gfi,t_punct,a_char_ps,t_n_ent,a_n_ent_pw,a_n_ent_ps,simp_adj_var,simp_adp_var,simp_adv_var,simp_aux_var,simp_cconj_var,simp_det_var,simp_intj_var,simp_noun_var,simp_num_var,simp_part_var,simp_pron_var,simp_propn_var,simp_punct_var,simp_sconj_var,simp_sym_var,simp_verb_var,simp_space_var,root_adj_var,root_adp_var,root_adv_var,root_aux_var,root_cconj_var,root_det_var,root_intj_var,root_noun_var,root_num_var,root_part_var,root_pron_var,root_propn_var,root_punct_var,root_sconj_var,root_sym_var,root_verb_var,root_space_var,corr_adj_var,corr_adp_var,corr_adv_var,corr_aux_var,corr_cconj_var,corr_det_var,corr_intj_var,corr_noun_var,corr_num_var,corr_part_var,corr_pron_var,corr_propn_var,corr_punct_var,corr_sconj_var,corr_sym_var,corr_verb_var,corr_space_var,simp_ttr,root_ttr,corr_ttr,bilog_ttr,uber_ttr,simp_ttr_no_lem,root_ttr_no_lem,corr_ttr_no_lem,bilog_ttr_no_lem,uber_ttr_no_lem,n_adj,n_adp,n_adv,n_aux,n_cconj,n_det,n_intj,n_noun,n_num,n_part,n_pron,n_propn,n_punct,n_sconj,n_sym,n_verb,n_space,n_uadj,n_uadp,n_uadv,n_uaux,n_ucconj,n_udet,n_uintj,n_unoun,n_unum,n_upart,n_upron,n_upropn,n_upunct,n_usconj,n_usym,n_uverb,n_uspace,a_adj_pw,a_adp_pw,a_adv_pw,a_aux_pw,a_cconj_pw,a_det_pw,a_intj_pw,a_noun_pw,a_num_pw,a_part_pw,a_pron_pw,a_propn_pw,a_punct_pw,a_sconj_pw,a_sym_pw,a_verb_pw,a_space_pw,a_adj_ps,a_adp_ps,a_adv_ps,a_aux_ps,a_cconj_ps,a_det_ps,a_intj_ps,a_noun_ps,a_num_ps,a_part_ps,a_pron_ps,a_propn_ps,a_punct_ps,a_sconj_ps,a_sym_ps,a_verb_ps,a_space_ps,fkre,fkgl,fogi,smog,cole,auto
1114,en,220,134,4,1016,97,55.0,4.618,0.609,,,,,,,16.0,254.0,24.0,0.109,6.0,0.867,0.216,1.0,0.333,0.25,0.125,0.0,0.95,1.0,0.5,0.778,0.763,0.188,1.0,0.0,1.0,0.125,3.357,1.315,2.236,0.816,0.5,0.707,0.0,6.008,1.732,1.0,2.333,4.704,0.75,1.414,0.0,4.123,0.354,2.373,0.93,1.581,0.577,0.354,0.5,0.0,4.249,1.225,0.707,1.65,3.327,0.53,1.0,0.0,2.915,0.25,0.609,9.034,6.388,0.908,48.385,0.609,9.034,6.388,0.908,48.385,15.0,37.0,5.0,6.0,4.0,32.0,0.0,40.0,3.0,4.0,9.0,38.0,16.0,2.0,0.0,17.0,8.0,13.0,8.0,5.0,2.0,1.0,4.0,0.0,38.0,3.0,2.0,7.0,29.0,3.0,2.0,0.0,17.0,1.0,0.068,0.168,0.023,0.027,0.018,0.145,0.0,0.182,0.014,0.018,0.041,0.173,0.073,0.009,0.0,0.077,0.036,3.75,9.25,1.25,1.5,1.0,8.0,0.0,10.0,0.75,1.0,2.25,9.5,4.0,0.5,0.0,4.25,2.0,24.879,23.453,28.909,8.569,10.817,27.822
1115,en,509,255,22,2441,235,23.136,4.796,0.501,,,,,,,55.0,110.955,67.0,0.132,3.045,0.7,0.373,0.8,0.105,0.087,0.074,0.0,0.67,0.667,0.158,0.5,0.783,0.055,0.6,0.0,0.77,0.333,4.427,2.864,3.098,0.459,0.417,0.606,0.0,6.289,1.155,0.688,2.449,7.135,0.405,1.342,0.0,6.018,0.577,3.13,2.025,2.191,0.324,0.295,0.429,0.0,4.447,0.816,0.487,1.732,5.045,0.286,0.949,0.0,4.255,0.408,0.501,11.303,7.992,0.889,44.425,0.501,11.303,7.992,0.889,44.425,40.0,59.0,15.0,19.0,23.0,68.0,0.0,88.0,3.0,19.0,24.0,83.0,55.0,5.0,0.0,61.0,3.0,28.0,22.0,12.0,2.0,2.0,5.0,0.0,59.0,2.0,3.0,12.0,65.0,3.0,3.0,0.0,47.0,1.0,0.079,0.116,0.029,0.037,0.045,0.134,0.0,0.173,0.006,0.037,0.047,0.163,0.108,0.01,0.0,0.12,0.006,1.818,2.682,0.682,0.864,1.045,3.091,0.0,4.0,0.136,0.864,1.091,3.773,2.5,0.227,0.0,2.773,0.136,63.349,10.171,15.777,5.167,11.119,12.726
1116,en,136,83,5,674,58,27.2,4.956,0.61,,,,,,,15.0,134.8,4.0,0.029,0.8,0.818,0.375,1.0,0.75,0.667,0.25,0.0,0.657,0.0,0.4,0.857,0.25,0.2,0.5,0.0,0.955,0.143,2.714,1.5,1.414,1.5,1.155,0.866,0.0,3.888,0.0,0.894,2.268,0.5,0.775,1.414,0.0,4.477,0.378,1.919,1.061,1.0,1.061,0.816,0.612,0.0,2.749,0.0,0.632,1.604,0.354,0.548,1.0,0.0,3.166,0.267,0.61,7.117,5.033,0.899,39.541,0.61,7.117,5.033,0.899,39.541,11.0,16.0,2.0,4.0,3.0,12.0,0.0,35.0,0.0,5.0,7.0,4.0,15.0,8.0,0.0,22.0,7.0,9.0,6.0,2.0,3.0,2.0,3.0,0.0,23.0,0.0,2.0,6.0,1.0,3.0,4.0,0.0,21.0,1.0,0.081,0.118,0.015,0.029,0.022,0.088,0.0,0.257,0.0,0.037,0.051,0.029,0.11,0.059,0.0,0.162,0.051,2.2,3.2,0.4,0.8,0.6,2.4,0.0,7.0,0.0,1.0,1.4,0.8,3.0,1.6,0.0,4.4,1.4,43.618,13.933,19.704,7.664,12.252,15.512
1117,en,63,50,3,254,36,21.0,4.032,0.794,,,,,,,12.0,84.667,5.0,0.079,1.667,1.0,0.6,1.0,1.0,1.0,0.667,0.0,0.818,1.0,0.667,0.556,1.0,0.25,0.0,0.0,0.889,0.0,1.0,2.324,1.732,1.0,1.414,1.155,0.0,2.714,1.732,1.155,1.667,1.732,0.866,0.0,0.0,2.667,0.0,0.707,1.643,1.225,0.707,1.0,0.816,0.0,1.919,1.225,0.816,1.179,1.225,0.612,0.0,0.0,1.886,0.0,0.794,6.299,4.454,0.944,66.219,0.794,6.299,4.454,0.944,66.219,1.0,15.0,3.0,1.0,2.0,3.0,0.0,11.0,3.0,3.0,9.0,3.0,12.0,0.0,0.0,9.0,0.0,1.0,9.0,3.0,1.0,2.0,2.0,0.0,9.0,3.0,2.0,5.0,3.0,3.0,0.0,0.0,8.0,0.0,0.016,0.238,0.048,0.016,0.032,0.048,0.0,0.175,0.048,0.048,0.143,0.048,0.19,0.0,0.0,0.143,0.0,0.333,5.0,1.0,0.333,0.667,1.0,0.0,3.667,1.0,1.0,3.0,1.0,4.0,0.0,0.0,3.0,0.0,84.806,6.648,12.21,0.0,6.497,8.06
1118,en,342,160,13,1614,163,26.308,4.719,0.468,,,,,,,44.0,124.154,33.0,0.096,2.538,0.885,0.283,1.0,0.214,0.167,0.13,0.0,0.588,0.0,0.308,0.368,0.447,0.068,0.625,0.0,0.824,0.0,4.511,1.917,2.646,0.802,0.577,0.885,0.0,5.255,0.0,1.109,1.606,2.758,0.452,1.768,0.0,4.802,0.0,3.19,1.355,1.871,0.567,0.408,0.626,0.0,3.716,0.0,0.784,1.136,1.95,0.32,1.25,0.0,3.395,0.0,0.468,8.652,6.118,0.87,33.908,0.468,8.652,6.118,0.87,33.908,26.0,46.0,7.0,14.0,12.0,46.0,0.0,80.0,0.0,13.0,19.0,38.0,44.0,8.0,0.0,34.0,0.0,23.0,13.0,7.0,3.0,2.0,6.0,0.0,47.0,0.0,4.0,7.0,17.0,3.0,5.0,0.0,28.0,0.0,0.076,0.135,0.02,0.041,0.035,0.135,0.0,0.234,0.0,0.038,0.056,0.111,0.129,0.023,0.0,0.099,0.0,2.0,3.538,0.538,1.077,0.923,3.538,0.0,6.154,0.0,1.0,1.462,2.923,3.385,0.615,0.0,2.615,0.0,49.027,12.957,17.073,6.722,10.824,13.952
1119,en,45,39,3,195,20,15.0,4.333,0.867,,,,,,,5.0,65.0,4.0,0.089,1.333,1.0,0.75,1.0,0.667,1.0,0.333,0.0,1.0,0.0,1.0,1.0,0.75,0.4,0.0,0.0,1.0,1.0,1.732,1.5,1.414,1.155,1.0,0.816,0.0,2.828,0.0,1.414,1.732,2.121,0.894,0.0,0.0,2.236,1.0,1.225,1.061,1.0,0.816,0.707,0.577,0.0,2.0,0.0,1.0,1.225,1.5,0.632,0.0,0.0,1.581,0.707,0.867,5.814,4.111,0.962,93.792,0.867,5.814,4.111,0.962,93.792,3.0,4.0,2.0,3.0,1.0,6.0,0.0,8.0,0.0,2.0,3.0,8.0,5.0,0.0,0.0,5.0,1.0,3.0,3.0,2.0,2.0,1.0,2.0,0.0,8.0,0.0,2.0,3.0,6.0,2.0,0.0,0.0,5.0,1.0,0.067,0.089,0.044,0.067,0.022,0.133,0.0,0.178,0.0,0.044,0.067,0.178,0.111,0.0,0.0,0.111,0.022,1.0,1.333,0.667,1.0,0.333,2.0,0.0,2.667,0.0,0.667,1.0,2.667,1.667,0.0,0.0,1.667,0.333,80.69,5.731,7.778,3.298,7.707,6.48
1120,en,291,167,13,1372,142,22.385,4.715,0.574,,,,,,,30.0,105.538,43.0,0.148,3.308,1.0,0.385,1.0,0.1,0.3,0.079,0.0,0.759,0.615,0.125,0.467,0.711,0.067,1.0,0.0,0.9,1.0,2.646,2.402,2.646,0.316,0.949,0.487,0.0,5.579,2.219,0.354,1.807,4.77,0.365,1.732,0.0,5.692,1.414,1.871,1.698,1.871,0.224,0.671,0.344,0.0,3.945,1.569,0.25,1.278,3.373,0.258,1.225,0.0,4.025,1.0,0.574,9.79,6.922,0.902,47.168,0.574,9.79,6.922,0.902,47.168,7.0,39.0,7.0,10.0,10.0,38.0,0.0,54.0,13.0,8.0,15.0,45.0,30.0,3.0,0.0,40.0,2.0,7.0,15.0,7.0,1.0,3.0,3.0,0.0,41.0,8.0,1.0,7.0,32.0,2.0,3.0,0.0,36.0,2.0,0.024,0.134,0.024,0.034,0.034,0.131,0.0,0.186,0.045,0.027,0.052,0.155,0.103,0.01,0.0,0.137,0.007,0.538,3.0,0.538,0.769,0.769,2.923,0.0,4.154,1.0,0.615,1.154,3.462,2.308,0.231,0.0,3.077,0.154,65.209,9.725,13.49,5.489,10.601,11.969
1121,en,62,39,4,300,33,15.5,4.839,0.629,,,,,,,8.0,75.0,1.0,0.016,0.25,1.0,0.5,1.0,1.0,0.5,0.2,0.0,0.684,0.0,1.0,0.0,0.5,0.375,1.0,0.0,0.833,0.0,2.0,1.581,1.732,1.414,0.707,0.632,0.0,2.982,0.0,1.0,0.0,1.0,1.061,1.0,0.0,2.041,0.0,1.414,1.118,1.225,1.0,0.5,0.447,0.0,2.109,0.0,0.707,0.0,0.707,0.75,0.707,0.0,1.443,0.0,0.629,4.953,3.502,0.888,28.953,0.629,4.953,3.502,0.888,28.953,4.0,10.0,3.0,2.0,2.0,10.0,0.0,19.0,0.0,1.0,0.0,4.0,8.0,1.0,0.0,6.0,0.0,4.0,5.0,3.0,2.0,1.0,2.0,0.0,13.0,0.0,1.0,0.0,2.0,3.0,1.0,0.0,5.0,0.0,0.065,0.161,0.048,0.032,0.032,0.161,0.0,0.306,0.0,0.016,0.0,0.065,0.129,0.016,0.0,0.097,0.0,1.0,2.5,0.75,0.5,0.5,2.5,0.0,4.75,0.0,0.25,0.0,1.0,2.0,0.25,0.0,1.5,0.0,66.932,7.774,12.652,5.713,10.742,9.11
1122,en,120,84,10,647,40,12.0,5.392,0.7,,,,,,,19.0,64.7,7.0,0.058,0.7,0.75,0.727,1.0,0.167,0.4,0.4,0.0,0.743,1.0,0.667,1.0,0.833,0.158,0.0,0.0,1.0,0.222,3.0,2.412,1.414,0.408,0.894,1.265,0.0,4.395,1.732,1.155,1.732,2.041,0.688,0.0,0.0,3.464,0.667,2.121,1.706,1.0,0.289,0.632,0.894,0.0,3.108,1.225,0.816,1.225,1.443,0.487,0.0,0.0,2.449,0.471,0.7,7.668,5.422,0.925,55.042,0.7,7.668,5.422,0.925,55.042,16.0,11.0,2.0,6.0,5.0,10.0,0.0,35.0,3.0,3.0,3.0,6.0,19.0,0.0,0.0,12.0,9.0,12.0,8.0,2.0,1.0,2.0,4.0,0.0,26.0,3.0,2.0,3.0,5.0,3.0,0.0,0.0,12.0,2.0,0.133,0.092,0.017,0.05,0.042,0.083,0.0,0.292,0.025,0.025,0.025,0.05,0.158,0.0,0.0,0.1,0.075,1.6,1.1,0.2,0.6,0.5,1.0,0.0,3.5,0.3,0.3,0.3,0.6,1.9,0.0,0.0,1.2,0.9,48.72,9.445,14.467,7.449,13.436,9.965
1123,en,123,84,5,561,62,24.6,4.561,0.683,,,,,,,18.0,112.2,16.0,0.13,3.2,1.0,0.533,1.0,0.4,0.4,0.231,0.0,0.882,1.0,0.6,0.545,0.556,0.167,1.0,0.0,0.944,0.0,3.0,2.066,1.732,0.894,0.894,0.832,0.0,3.638,1.0,1.342,1.809,2.357,0.707,1.732,0.0,4.007,0.0,2.121,1.461,1.225,0.632,0.632,0.588,0.0,2.572,0.707,0.949,1.279,1.667,0.5,1.225,0.0,2.833,0.0,0.683,7.574,5.356,0.921,51.478,0.683,7.574,5.356,0.921,51.478,9.0,15.0,3.0,5.0,5.0,13.0,0.0,17.0,1.0,5.0,11.0,18.0,18.0,3.0,0.0,18.0,0.0,9.0,8.0,3.0,2.0,2.0,3.0,0.0,15.0,1.0,3.0,6.0,10.0,3.0,3.0,0.0,17.0,0.0,0.073,0.122,0.024,0.041,0.041,0.106,0.0,0.138,0.008,0.041,0.089,0.146,0.146,0.024,0.0,0.146,0.0,1.8,3.0,0.6,1.0,1.0,2.6,0.0,3.4,0.2,1.0,2.2,3.6,3.6,0.6,0.0,3.6,0.0,69.754,9.641,13.742,2.555,9.815,12.352
1124,en,83,55,3,372,37,27.667,4.482,0.663,,,,,,,9.0,124.0,3.0,0.036,1.0,0.75,0.583,1.0,0.4,0.5,0.214,0.0,0.808,0.0,0.667,0.0,0.5,0.444,1.0,0.0,1.0,0.333,1.5,2.021,1.414,0.894,0.707,0.802,0.0,4.118,0.0,1.155,0.0,0.707,1.333,1.0,0.0,3.0,0.577,1.061,1.429,1.0,0.632,0.5,0.567,0.0,2.912,0.0,0.816,0.0,0.5,0.943,0.707,0.0,2.121,0.408,0.663,6.037,4.269,0.907,39.024,0.663,6.037,4.269,0.907,39.024,4.0,12.0,2.0,5.0,2.0,14.0,0.0,26.0,0.0,3.0,0.0,2.0,9.0,1.0,0.0,9.0,3.0,3.0,7.0,2.0,2.0,1.0,3.0,0.0,21.0,0.0,2.0,0.0,1.0,4.0,1.0,0.0,9.0,1.0,0.048,0.145,0.024,0.06,0.024,0.169,0.0,0.313,0.0,0.036,0.0,0.024,0.108,0.012,0.0,0.108,0.036,1.333,4.0,0.667,1.667,0.667,4.667,0.0,8.667,0.0,1.0,0.0,0.667,3.0,0.333,0.0,3.0,1.0,62.556,11.407,17.814,5.713,9.484,13.513
1125,en,195,117,10,843,103,19.5,4.323,0.6,,,,,,,20.0,84.3,11.0,0.056,1.1,0.895,0.435,0.857,0.357,0.667,0.185,0.0,0.649,0.5,0.6,0.438,0.688,0.15,0.5,0.0,1.0,1.0,3.9,2.085,2.268,1.336,1.633,0.962,0.0,3.946,0.707,1.342,1.75,2.75,0.671,0.707,0.0,4.472,1.0,2.758,1.474,1.604,0.945,1.155,0.68,0.0,2.79,0.5,0.949,1.237,1.945,0.474,0.5,0.0,3.162,0.707,0.6,8.379,5.925,0.903,44.395,0.6,8.379,5.925,0.903,44.395,19.0,23.0,7.0,14.0,6.0,27.0,0.0,37.0,2.0,5.0,16.0,16.0,20.0,2.0,0.0,20.0,1.0,17.0,10.0,6.0,5.0,4.0,5.0,0.0,24.0,1.0,3.0,7.0,11.0,3.0,1.0,0.0,20.0,1.0,0.097,0.118,0.036,0.072,0.031,0.138,0.0,0.19,0.01,0.026,0.082,0.082,0.103,0.01,0.0,0.103,0.005,1.9,2.3,0.7,1.4,0.6,2.7,0.0,3.7,0.2,0.5,1.6,1.6,2.0,0.2,0.0,2.0,0.1,78.147,7.204,10.877,4.04,8.102,8.682
1126,en,290,161,8,1284,160,36.25,4.428,0.555,,,,,,,32.0,160.5,14.0,0.048,1.75,0.92,0.35,0.833,0.455,0.188,0.1,1.0,0.836,0.0,0.75,0.429,0.526,0.094,0.75,0.0,0.848,0.25,4.6,2.214,2.887,1.508,0.75,0.632,1.0,6.53,0.0,1.5,1.964,2.294,0.53,1.5,0.0,4.874,0.5,3.253,1.565,2.041,1.066,0.53,0.447,0.707,4.617,0.0,1.061,1.389,1.622,0.375,1.061,0.0,3.447,0.354,0.555,9.454,6.685,0.896,43.877,0.555,9.454,6.685,0.896,43.877,25.0,40.0,12.0,11.0,16.0,40.0,1.0,61.0,0.0,4.0,21.0,19.0,32.0,4.0,0.0,33.0,4.0,23.0,14.0,10.0,5.0,3.0,4.0,1.0,51.0,0.0,3.0,9.0,10.0,3.0,3.0,0.0,28.0,1.0,0.086,0.138,0.041,0.038,0.055,0.138,0.003,0.21,0.0,0.014,0.072,0.066,0.11,0.014,0.0,0.114,0.014,3.125,5.0,1.5,1.375,2.0,5.0,0.125,7.625,0.0,0.5,2.625,2.375,4.0,0.5,0.0,4.125,0.5,60.353,13.847,18.5,5.344,9.418,17.549
1127,en,520,262,17,2449,268,30.588,4.71,0.504,,,,,,,45.0,144.059,48.0,0.092,2.824,0.879,0.328,0.719,0.167,0.154,0.1,0.0,0.712,1.0,0.222,0.476,0.818,0.067,0.625,0.0,0.78,0.077,5.048,2.561,4.066,0.707,0.784,0.894,0.0,7.256,2.0,0.667,2.182,5.427,0.447,2.5,0.0,5.989,0.277,3.57,1.811,2.875,0.5,0.555,0.632,0.0,5.131,1.414,0.471,1.543,3.838,0.316,1.768,0.0,4.235,0.196,0.504,11.489,8.124,0.89,45.233,0.504,11.489,8.124,0.89,45.233,33.0,61.0,32.0,18.0,26.0,80.0,0.0,104.0,4.0,9.0,21.0,44.0,45.0,16.0,0.0,59.0,13.0,29.0,20.0,23.0,3.0,4.0,8.0,0.0,74.0,4.0,2.0,10.0,36.0,3.0,10.0,0.0,46.0,1.0,0.063,0.117,0.062,0.035,0.05,0.154,0.0,0.2,0.008,0.017,0.04,0.085,0.087,0.031,0.0,0.113,0.025,1.941,3.588,1.882,1.059,1.529,4.706,0.0,6.118,0.235,0.529,1.235,2.588,2.647,0.941,0.0,3.471,0.765,55.558,13.109,17.543,5.713,10.925,16.046
1128,en,502,242,25,2369,239,20.08,4.719,0.482,,,,,,,68.0,94.76,45.0,0.09,1.8,0.87,0.258,0.818,0.462,0.107,0.07,0.0,0.675,0.0,0.167,0.345,0.429,0.044,0.727,0.0,0.922,0.5,4.17,2.032,2.714,1.664,0.567,0.593,0.0,7.212,0.0,0.577,1.857,3.0,0.364,2.412,0.0,8.091,0.707,2.949,1.437,1.919,1.177,0.401,0.42,0.0,5.099,0.0,0.408,1.313,2.121,0.257,1.706,0.0,5.721,0.5,0.482,10.801,7.637,0.883,41.291,0.482,10.801,7.637,0.883,41.291,23.0,62.0,11.0,13.0,28.0,71.0,0.0,114.0,0.0,12.0,29.0,49.0,68.0,11.0,0.0,77.0,2.0,20.0,16.0,9.0,6.0,3.0,5.0,0.0,77.0,0.0,2.0,10.0,21.0,3.0,8.0,0.0,71.0,1.0,0.046,0.124,0.022,0.026,0.056,0.141,0.0,0.227,0.0,0.024,0.058,0.098,0.135,0.022,0.0,0.153,0.004,0.92,2.48,0.44,0.52,1.12,2.84,0.0,4.56,0.0,0.48,1.16,1.96,2.72,0.44,0.0,3.08,0.08,69.328,8.578,12.335,3.958,10.474,10.837
1129,en,537,252,32,2407,271,16.781,4.482,0.469,,,,,,,64.0,75.219,43.0,0.08,1.344,0.763,0.28,0.938,0.182,0.067,0.07,0.0,0.712,0.5,0.214,0.552,0.556,0.047,0.6,0.0,0.746,0.2,4.704,2.425,3.75,0.853,0.258,0.647,0.0,7.733,1.225,0.802,2.971,3.727,0.375,1.342,0.0,5.921,0.447,3.327,1.715,2.652,0.603,0.183,0.457,0.0,5.468,0.866,0.567,2.101,2.635,0.265,0.949,0.0,4.187,0.316,0.469,10.875,7.69,0.88,40.412,0.469,10.875,7.69,0.88,40.412,38.0,75.0,16.0,22.0,15.0,86.0,0.0,118.0,6.0,14.0,29.0,45.0,64.0,5.0,0.0,63.0,5.0,29.0,21.0,15.0,4.0,1.0,6.0,0.0,84.0,3.0,3.0,16.0,25.0,3.0,3.0,0.0,47.0,1.0,0.071,0.14,0.03,0.041,0.028,0.16,0.0,0.22,0.011,0.026,0.054,0.084,0.119,0.009,0.0,0.117,0.009,1.188,2.344,0.5,0.688,0.469,2.688,0.0,3.688,0.188,0.438,0.906,1.406,2.0,0.156,0.0,1.969,0.156,75.742,6.864,10.958,4.402,8.792,8.072
1130,en,123,83,5,606,65,24.6,4.927,0.675,,,,,,,18.0,121.2,4.0,0.033,0.8,1.0,0.533,1.0,0.4,0.4,0.222,0.0,0.828,0.0,0.429,0.429,0.75,0.167,0.667,0.0,0.944,0.0,2.449,2.066,2.828,0.894,0.894,0.667,0.0,4.457,0.0,1.134,1.604,1.5,0.707,1.155,0.0,4.007,0.0,1.732,1.461,2.0,0.632,0.632,0.471,0.0,3.151,0.0,0.802,1.134,1.061,0.5,0.816,0.0,2.833,0.0,0.675,7.484,5.292,0.918,49.641,0.675,7.484,5.292,0.918,49.641,6.0,15.0,8.0,5.0,5.0,9.0,0.0,29.0,0.0,7.0,14.0,4.0,18.0,3.0,0.0,18.0,0.0,6.0,8.0,8.0,2.0,2.0,2.0,0.0,24.0,0.0,3.0,6.0,3.0,3.0,2.0,0.0,17.0,0.0,0.049,0.122,0.065,0.041,0.041,0.073,0.0,0.236,0.0,0.057,0.114,0.033,0.146,0.024,0.0,0.146,0.0,1.2,3.0,1.6,1.0,1.0,1.8,0.0,5.8,0.0,1.4,2.8,0.8,3.6,0.6,0.0,3.6,0.0,48.432,12.615,17.32,8.473,11.967,14.075
1131,en,116,86,5,558,57,23.2,4.81,0.741,,,,,,,19.0,111.6,7.0,0.06,1.4,1.0,0.353,0.9,0.444,0.5,0.231,0.0,0.913,0.0,1.0,0.667,0.857,0.211,1.0,0.0,1.0,0.0,2.828,1.455,2.846,1.333,0.707,0.832,0.0,4.379,0.0,1.0,1.633,3.207,0.918,1.732,0.0,3.162,0.0,2.0,1.029,2.012,0.943,0.5,0.588,0.0,3.096,0.0,0.707,1.155,2.268,0.649,1.225,0.0,2.236,0.0,0.741,7.985,5.646,0.937,66.305,0.741,7.985,5.646,0.937,66.305,8.0,17.0,10.0,9.0,2.0,13.0,0.0,23.0,0.0,1.0,6.0,14.0,19.0,3.0,0.0,10.0,0.0,8.0,6.0,9.0,4.0,1.0,3.0,0.0,21.0,0.0,1.0,4.0,12.0,4.0,3.0,0.0,10.0,0.0,0.069,0.147,0.086,0.078,0.017,0.112,0.0,0.198,0.0,0.009,0.052,0.121,0.164,0.026,0.0,0.086,0.0,1.6,3.4,2.0,1.8,0.4,2.6,0.0,4.6,0.0,0.2,1.2,2.8,3.8,0.6,0.0,2.0,0.0,47.635,12.379,16.177,6.258,11.209,12.827
1132,en,399,222,19,1878,194,21.0,4.707,0.556,,,,,,,63.0,98.842,42.0,0.105,2.211,0.933,0.383,1.0,0.12,0.2,0.114,0.0,0.891,1.0,0.158,0.385,0.409,0.048,0.8,0.0,0.961,0.286,5.112,2.626,4.472,0.6,0.632,0.676,0.0,7.125,1.732,0.688,2.402,2.714,0.378,1.789,0.0,6.861,0.756,3.615,1.857,3.162,0.424,0.447,0.478,0.0,5.038,1.225,0.487,1.698,1.919,0.267,1.265,0.0,4.852,0.535,0.556,11.114,7.859,0.902,49.786,0.556,11.114,7.859,0.902,49.786,30.0,47.0,20.0,25.0,10.0,35.0,0.0,64.0,3.0,19.0,39.0,44.0,63.0,5.0,0.0,51.0,7.0,28.0,18.0,20.0,3.0,2.0,4.0,0.0,57.0,3.0,3.0,15.0,18.0,3.0,4.0,0.0,49.0,2.0,0.075,0.118,0.05,0.063,0.025,0.088,0.0,0.16,0.008,0.048,0.098,0.11,0.158,0.013,0.0,0.128,0.018,1.579,2.474,1.053,1.316,0.526,1.842,0.0,3.368,0.158,1.0,2.053,2.316,3.316,0.263,0.0,2.684,0.368,62.118,9.812,14.114,5.242,10.466,11.239
1133,en,538,226,28,2404,271,19.214,4.468,0.42,,,,,,,68.0,85.857,76.0,0.141,2.714,0.742,0.271,0.875,0.156,0.12,0.121,0.0,0.596,0.667,0.158,0.355,0.5,0.044,0.7,0.0,0.687,0.5,4.131,2.083,2.475,0.884,0.6,0.919,0.0,5.618,2.0,0.688,1.976,4.95,0.364,2.214,0.0,5.62,0.707,2.921,1.473,1.75,0.625,0.424,0.65,0.0,3.973,1.414,0.487,1.397,3.5,0.257,1.565,0.0,3.974,0.5,0.42,9.744,6.89,0.862,33.877,0.42,9.744,6.89,0.862,33.877,31.0,59.0,8.0,32.0,25.0,58.0,0.0,89.0,9.0,19.0,31.0,98.0,68.0,10.0,0.0,67.0,2.0,23.0,16.0,7.0,5.0,3.0,7.0,0.0,53.0,6.0,3.0,11.0,49.0,3.0,7.0,0.0,46.0,1.0,0.058,0.11,0.015,0.059,0.046,0.108,0.0,0.165,0.017,0.035,0.058,0.182,0.126,0.019,0.0,0.125,0.004,1.107,2.107,0.286,1.143,0.893,2.071,0.0,3.179,0.321,0.679,1.107,3.5,2.429,0.357,0.0,2.393,0.071,73.956,7.717,11.775,2.159,8.934,9.223
1134,en,293,149,13,1212,155,22.538,4.137,0.509,,,,,,,33.0,93.231,24.0,0.082,1.846,0.944,0.289,0.818,0.308,0.158,0.133,0.0,0.83,0.0,0.333,0.233,0.576,0.091,1.0,0.0,0.818,0.143,4.007,1.784,2.714,1.109,0.688,0.73,0.0,5.689,0.0,1.0,1.278,3.307,0.522,2.236,0.0,4.7,0.378,2.833,1.262,1.919,0.784,0.487,0.516,0.0,4.023,0.0,0.707,0.904,2.339,0.369,1.581,0.0,3.323,0.267,0.509,8.705,6.155,0.881,37.028,0.509,8.705,6.155,0.881,37.028,18.0,38.0,11.0,13.0,19.0,30.0,0.0,47.0,0.0,9.0,30.0,33.0,33.0,5.0,0.0,33.0,7.0,17.0,11.0,9.0,4.0,3.0,4.0,0.0,39.0,0.0,3.0,7.0,19.0,3.0,5.0,0.0,27.0,1.0,0.061,0.13,0.038,0.044,0.065,0.102,0.0,0.16,0.0,0.031,0.102,0.113,0.113,0.017,0.0,0.113,0.024,1.385,2.923,0.846,1.0,1.462,2.308,0.0,3.615,0.0,0.692,2.308,2.538,2.538,0.385,0.0,2.538,0.538,75.105,8.383,13.247,3.543,7.209,9.322
